Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Single 3ft,,1500,,,,0,shopify,0,deny,manual,325,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Single 3ft,,2000,,,,0,shopify,0,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Single 3ft,,3000,,,,0,shopify,0,deny,manual,425,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Single 3ft,,4000,,,,0,shopify,0,deny,manual,475,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Single 3ft,,5000,,,,0,shopify,0,deny,manual,525,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Small Double 4ft,,1500,,,,0,shopify,0,deny,manual,495,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Small Double 4ft,,2000,,,,0,shopify,0,deny,manual,545,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Small Double 4ft,,3000,,,,0,shopify,0,deny,manual,595,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Small Double 4ft,,4000,,,,0,shopify,0,deny,manual,645,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Small Double 4ft,,5000,,,,0,shopify,0,deny,manual,675,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Double 4ft6,,1500,,,,0,shopify,0,deny,manual,495,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Double 4ft6,,2000,,,,0,shopify,0,deny,manual,545,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Double 4ft6,,3000,,,,0,shopify,0,deny,manual,595,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Double 4ft6,,4000,,,,0,shopify,0,deny,manual,645,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,Double 4ft6,,5000,,,,0,shopify,0,deny,manual,690,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
cotton-and-wool-mattress-2000-5000-pocket,,,,,,,,,King Size 5ft,,1500,,,,0,shopify,0,deny,manual,525,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
